,bodystyleName,sellerId,customerId,isCpoVehicle,price,listingId,mkId,mkNm,mdId,mdNm,trimId,trimName,modelYearId,modelYear,stkTyp,state,zipcode,link,mileage,priceScore,mileageScore,modelYearScore,totalScore
7,Sedan,426382,7791,TRUE,15885,837521593,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837521593/overview/,23960,0.193548387,0.818181818,0.857142857,0.622957687
21,Sedan,436995,98562,FALSE,13999,835664201,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835664201/overview/,79997,0.290322581,0.636363636,0.928571429,0.618419215
70,Sedan,414031,7961,TRUE,17393,835612998,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835612998/overview/,20539,0.096774194,0.818181818,0.928571429,0.614509147
91,Sedan,438634,7555,FALSE,16995,835524190,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/835524190/overview/,20711,0.096774194,0.818181818,0.928571429,0.614509147
33,Sedan,465813,186856,TRUE,17440,836784847,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836784847/overview/,23554,0.096774194,0.818181818,0.928571429,0.614509147
92,Sedan,422681,7590,FALSE,16993,836293512,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836293512/overview/,22466,0.096774194,0.818181818,0.928571429,0.614509147
65,Sedan,414031,7961,TRUE,17099,829918113,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/829918113/overview/,27076,0.096774194,0.818181818,0.928571429,0.614509147
55,Sedan,422862,7755,FALSE,14800,837175265,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837175265/overview/,41930,0.258064516,0.727272727,0.857142857,0.614160034
35,Sedan,465813,186856,TRUE,15980,838282751,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838282751/overview/,36445,0.161290323,0.818181818,0.857142857,0.612204999
81,Sedan,451633,153786,FALSE,14997,836981560,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836981560/overview/,35466,0.225806452,0.818181818,0.785714286,0.609900852
80,Sedan,415610,8003,FALSE,16297,836882822,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836882822/overview/,41361,0.161290323,0.727272727,0.928571429,0.605711493
61,Sedan,414031,7961,TRUE,17792,837532057,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837532057/overview/,31216,0.064516129,0.818181818,0.928571429,0.603756459
15,Sedan,439536,7978,FALSE,17833,836959309,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836959309/overview/,34639,0.064516129,0.818181818,0.928571429,0.603756459
10,Sedan,638034,193769,FALSE,17468,838610982,20017,Honda,20823,Civic,24369,LX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838610982/overview/,24522,0.064516129,0.818181818,0.928571429,0.603756459
53,Sedan,436131,7822,FALSE,17531,838376187,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838376187/overview/,32593,0.064516129,0.818181818,0.928571429,0.603756459
20,Sedan,464752,185429,TRUE,17764,837304430,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/837304430/overview/,24399,0.064516129,0.818181818,0.928571429,0.603756459
25,Sedan,464752,185429,TRUE,17570,836434280,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836434280/overview/,26935,0.064516129,0.818181818,0.928571429,0.603756459
19,Sedan,436995,98562,TRUE,16691,838631455,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838631455/overview/,33427,0.129032258,0.818181818,0.857142857,0.601452311
36,Sedan,430655,7828,FALSE,17990,837797213,20017,Honda,20823,Civic,23667,EX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/837797213/overview/,14004,0.032258065,0.909090909,0.857142857,0.599497277
28,Coupe,16953190,5254019,FALSE,17998,838557738,20017,Honda,20823,Civic,24369,LX,30031936,2017,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838557738/overview/,13699,0.032258065,0.909090909,0.857142857,0.599497277
12,Sedan,456305,161555,FALSE,15491,838786382,20017,Honda,20823,Civic,23667,EX,58487,2016,Used,PA,19146,https://www.cars.com/vehicledetail/detail/838786382/overview/,38752,0.193548387,0.818181818,0.785714286,0.599148164
0,Sedan,415083,7911,TRUE,16632,836774626,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,PA,19146,https://www.cars.com/vehicledetail/detail/836774626/overview/,44918,0.129032258,0.727272727,0.928571429,0.594958805
56,Hatchback,426020,111572,FALSE,17995,836187284,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/836187284/overview/,34075,0.032258065,0.818181818,0.928571429,0.59300377
57,Sedan,426020,111572,FALSE,17995,838773005,20017,Honda,20823,Civic,23667,EX,35797618,2018,Used,NJ,19146,https://www.cars.com/vehicledetail/detail/838773005/overview/,21633,0.032258065,0.818181818,0.928571429,0.59300377
